id,timestamp,ownerUsername,text,likesCount,postUrl,commentUrl
17886538242214282,2025-03-04T08:30:47+00:00,nrfauz,update tgl 1 tp pemberitahuan tgl 4 wkwkwkk kocak bgt yallah,3,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17886538242214282
17853697401354331,2025-03-04T04:21:47+00:00,dinisuandini,Minnnn tolong yah sebenernya inu pemberitahuan resminya agak lambat setelah wp disuruh ngulik dengan note pad untuk xmlnya sekarang sudah pakai format baru nilai dpp yang ada diskonnya jadi eror parah alhasil harus edit manual saty satu please tanggapi segera untuk ini karena sangat menghambat sekali 🔥,16,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17853697401354331
17959477109888892,2025-03-04T04:10:54+00:00,deddybeladona,OTP OTP OTP. Udah itu aja benerin dulu,17,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17959477109888892
18059892062054045,2025-03-04T07:19:49+00:00,oksi_mega,Ada aja gebrakan nya😴 hari ini Pdf nya malah kosong😴,28,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18059892062054045
17995579655773708,2025-03-05T01:37:13+00:00,nabilaazhura,Masih terpantau saat ini bukti pdfnya masih kosong 😭,2,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17995579655773708
18124465927421922,2025-03-04T04:47:18+00:00,diah4583,Knp xml monitoring yg fail tdk muncul angka baris/kolom brp yg gagal..🔥🔥,8,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18124465927421922
18487170988058617,2025-03-04T06:14:38+00:00,lissprmtsry,Kok faktur pajak gua kosong tiba2 sih ??? Pas di download,7,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18487170988058617
17857713807382912,2025-03-04T11:49:52+00:00,hepirohmah,Pak kenapa pph 21 pas buat spt nilai pph nya nol aduh coretax kapan si sempurna nya😭😭😭@ditjenpajakri,0,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17857713807382912
18064002163755815,2025-03-04T06:29:21+00:00,mei.xuan8,"aprrv faktur pajak, klik pdf. hasil pdf nya bener2 kosong. gimana ini coretax. tiap hari ada aja masalahnya",7,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18064002163755815
18137427877384249,2025-03-04T04:07:31+00:00,najik.zdn_,Dpp masih selisih ya?,10,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18137427877384249
18005650928554663,2025-03-04T07:28:24+00:00,rinnnnn_699,Ada yg hari ini upload terus approved terus pas download pdfnya kosong ?,5,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18005650928554663
18062615401812020,2025-03-04T04:45:26+00:00,a8du_01,Untung puasa klau tidak ada mau kublng😂,1,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18062615401812020
17951117534929270,2025-03-04T11:39:14+00:00,margareta.thaa,"Bakal muncul ga sih ini pdf yg kosong, mana isi nya banyak",1,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17951117534929270
18486070390038011,2025-03-04T11:32:42+00:00,febrianadal,"Ini kenapa mau upload xml BPPU ga valis2 oyyyy selalu tulisannya ""Kesalahan pada baris 8, NPWP harus NPWP Pemerintah"" terusssssss",0,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18486070390038011
18061885459802318,2025-03-04T04:10:40+00:00,lastseenseptmbr,"Makasih sistem coretax aku gagal diterima kerja, udah lolos MCU. gagal gara-gara telat bikin NPWP. sesimpel kode verifikasi aja udah mau 2 minggu gak ketar-kelar :)",96,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=18061885459802318
17914932729084589,2025-03-28T22:29:14+00:00,dengembaguseonde,Kenapa Masih xml. Hari Gini udah pasa pake json. Fuck,0,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/?comment_id=17914932729084589
