id,timestamp,ownerUsername,text,likesCount,postUrl,commentUrl
18064301240590567,2025-09-23T02:48:16+00:00,rennyanggraiini,Error lagi kah coretaxnya? 🙃,12,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18064301240590567
17919227481153545,2025-09-23T03:24:46+00:00,indrg_,Info kalo kode verifikasi udah pada masuk e-mail ya gesss🫩🙏,1,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17919227481153545
18192193942321145,2025-09-22T11:14:35+00:00,aankbean,Min sudah gajian? Benerin coretaxnya,4,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18192193942321145
18100060321616867,2025-09-22T09:28:55+00:00,yunitaryanti__,Masih kurang kah sabtu minggu downtime. Senin pun masih ga bisa akses dr siang.. gilaaa tak masuk logikaaaaa 😂,127,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18100060321616867
17963867459969337,2025-09-22T09:27:31+00:00,occhiderubino,Sampe kapan maintenance-nya?,56,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17963867459969337
18155052715389412,2025-09-23T03:18:36+00:00,indrg_,Pendaftaran NPWP badan kode verifikasi email gamasuk terus kenapa ya plisss🙏🫩,1,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18155052715389412
18056074310537587,2025-09-23T04:46:35+00:00,nnisaa____,Error lagi ya untuk pembuatan npwp badan,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18056074310537587
17972995523948291,2025-09-22T09:47:40+00:00,fajarmono.ramadhan,"Kita sbg penggunan cuman bisa bilang : ""kemarin maintenance ngapain aja??"" 😂😂🙏🏻🙏🏻",14,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17972995523948291
18163834672329732,2025-09-23T01:37:09+00:00,_dnprst,Kode otp email gamasuk masuk dari. Kemarin min 😢 ahh parah,1,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18163834672329732
18091708813761475,2025-09-22T12:33:12+00:00,widi.widee,Udh byr spt masa ppn tp kok statusnya blm berubah min?helpppp💔,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18091708813761475
18068055428217077,2025-09-23T04:36:03+00:00,karpusss,"Masih error sampai 23/09 11.35, tolong pakkkk @menkeuri",1,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18068055428217077
18183686935330589,2025-09-22T23:09:38+00:00,akbarhabib,"Ga kebayaang besok pas SPT TAHUNAN , horor😂😂😂😂",11,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18183686935330589
18059906474134911,2025-09-23T04:27:24+00:00,milafaresti,"Daftar NPWP susah bener, kode verifikasi nya ga di kirim kirim. Gimana si elahh",1,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18059906474134911
17903736372122013,2025-09-22T09:42:56+00:00,bobjasaindonesia,KODE OTP MANA ? KODE OTP MANA ? 😢😢😢,26,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17903736372122013
17912443989208958,2025-09-23T04:10:10+00:00,thisfath,Kode verifikasi ga masuk-masuk dari jam 9 nih,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17912443989208958
18070791914336802,2025-09-29T13:11:25+00:00,likimmie2328,Apakah gaji di bawah 4 juta wajib punya npwp??,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18070791914336802
18053752574268392,2025-09-29T02:17:39+00:00,liiiiyy04,pak kenapa mau login doang muter terus ni,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=18053752574268392
17913390876071682,2025-09-27T09:29:29+00:00,brotherfromwest,😂😂😂😂😂😂,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17913390876071682
17972937470930380,2025-09-26T23:09:48+00:00,jefryali86,Yang mau AKTIVASI/PEMBUATAN BARU bisa Wa gaus 081213627100,0,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/,https://www.instagram.com/ditjenpajakri/p/DO5j92ekroJ/?comment_id=17972937470930380
